SI:7 Agent,HIGH
Edwin VanCleef,EVIL Miscreant,Eviscerate,Dread Corsair,HIGH
Edwin VanCleef,Waggle Pick,Leeroy Jenkins,Dread Corsair,HIGH
Edwin VanCleef,Waggle Pick,Leeroy Jenkins,Eviscerate,HIGH
Edwin VanCleef,Waggle Pick,Eviscerate,Dread Corsair,HIGH
Edwin VanCleef,Leeroy Jenkins,Eviscerate,Dread Corsair,HIGH
Waggle Pick,EVIL Miscreant,Leeroy Jenkins,Raiding Party,HIGH
Dread Corsair,Waggle Pick,EVIL Miscreant,Raiding Party,HIGH
Waggle Pick,EVIL Miscreant,Eviscerate,Raiding Party,HIGH
Dread Corsair,EVIL Miscreant,Leeroy Jenkins,Raiding Party,HIGH
EVIL Miscreant,Eviscerate,Leeroy Jenkins,Raiding Party,HIGH
Dread Corsair,EVIL Miscreant,Eviscerate,Raiding Party,HIGH
Dread Corsair,Waggle Pick,Leeroy Jenkins,Raiding Party,HIGH
Waggle Pick,Leeroy Jenkins,Eviscerate,Raiding Party,HIGH
Dread Corsair,Waggle Pick,Eviscerate,Raiding Party,HIGH
Dread Corsair,Leeroy Jenkins,Eviscerate,Raiding Party,HIGH
Dread Corsair,Waggle Pick,EVIL Miscreant,Leeroy Jenkins,HIGH
Waggle Pick,EVIL Miscreant,Eviscerate,Leeroy Jenkins,HIGH
Waggle Pick,EVIL Miscreant,Eviscerate,Dread Corsair,HIGH
Dread Corsair,EVIL Miscreant,Eviscerate,Leeroy Jenkins,HIGH
Waggle Pick,Leeroy Jenkins,Eviscerate,Dread Corsair,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,Preparation,Dread Corsair,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Backstab,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,SI:7 Agent,HIGH
Raiding Party,Backstab,Preparation,Dread Corsair,SI:7 Agent,HIGH
Raiding Party,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Backstab,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Backstab,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Backstab,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,SI:7 Agent,HIGH
Waggle Pick,Backstab,Preparation,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Preparation,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,Eviscerate,SI:7 Agent,HIGH
Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Preparation,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Preparation,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Preparation,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Eviscerate,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Edwin VanCleef,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Preparation,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,Eviscerate,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,HIGH
Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Preparation,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,Dread Corsair,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,Eviscerate,HIGH
Edwin VanCleef,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,EVIL Miscreant,HIGH
Raiding Party,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Raiding Party,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Preparation,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,Dread Corsair,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,Eviscerate,HIGH
Raiding Party,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,EVIL Miscreant,HIGH
Waggle Pick,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,Eviscerate,HIGH
Waggle Pick,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,HIGH
Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,Eviscerate,HIGH
Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,EVIL Miscreant,HIGH
Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,HIGH
Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,Eviscerate,HIGH
Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Preparation,EVIL Miscreant,Eviscerate,HIGH
Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,Eviscerate,HIGH
Waggle Pick,Raiding Party,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,Dread Corsair,Eviscerate,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,HIGH
Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Eviscerate,HIGH
Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,EVIL Miscreant,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,HIGH
Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Eviscerate,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Backstab,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Backstab,EVIL Miscreant,Eviscerate,HIGH
Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Eviscerate,HIGH
Waggle Pick,Raiding Party,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,EVIL Miscreant,Eviscerate,HIGH
Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Eviscerate,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,Eviscerate,HIGH
